sample_id,split,split_index,scene_type,length_bucket,gt_changed_edge_count,gt_target_edge_count,no_anchor,parse_fail,strict_parse_fail,parse_confidence,anchor_count,mapped_edge_count,infer_time_s,sparse_dense_weight_mae,sparse_MAE_on_changed_edges,sparse_MAE_on_target_edges,sparse_gt_changed_edge_recall,sparse_target_recall,main_method,main_dense_weight_mae,main_MAE_on_changed_edges,main_MAE_on_target_edges,main_gt_changed_edge_recall,main_target_recall,main_dense_mae_delta_vs_sparse,main_changed_mae_delta_vs_sparse,main_target_mae_delta_vs_sparse,main_gt_changed_recall_delta_vs_sparse,main_target_recall_delta_vs_sparse,appendix_method,appendix_dense_weight_mae,appendix_MAE_on_changed_edges,appendix_MAE_on_target_edges,appendix_gt_changed_edge_recall,appendix_target_recall,appendix_dense_mae_delta_vs_sparse,appendix_changed_mae_delta_vs_sparse,appendix_target_mae_delta_vs_sparse,appendix_gt_changed_recall_delta_vs_sparse,appendix_target_recall_delta_vs_sparse,prediction_raw_preview,constraint_text
val_normal:17,val_normal,17,directional_asymmetry,short,2,1,False,False,False,0.98,1,1,1.1678,0.0083,0.4,0.0,50.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2063,0.5,0.0,50.0,100.0,0.198,0.1,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2272,1.505,2.01,50.0,100.0,0.2189,1.105,2.01,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=政七街|DIR=向东|RANGE=花园路至未来路|LEVEL=严重拥堵,政七街花园路至未来路段向东追尾事故严重拥堵；政七街花园路至未来路段向西畅通无阻
val_normal:170,val_normal,170,simple_local,short,2,2,False,False,False,0.98,1,2,1.0825,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2179,1.06,1.06,100.0,100.0,0.2179,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=农业路|DIR=向西|RANGE=经八路至未来路|LEVEL=中度拥堵,农业路经八路至未来路段向西中度拥堵缓行
val_normal:171,val_normal,171,simple_local,medium,2,2,False,False,False,0.98,1,2,1.1434,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2179,1.06,1.06,100.0,100.0,0.2179,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经三路|DIR=向南|RANGE=红专路至黄河路|LEVEL=中度拥堵,常态或局部短时事件：经三路红专路至黄河路段向南车流较大缓行；农业路花园路至未来路段向东保持正常通行
val_normal:172,val_normal,172,simple_local,noisy_long,3,0,True,False,True,0.9,0,0,0.7191,0.025,0.8,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.225,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.225,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,当前需要根据常态或局部短时事件进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 纬五路经一路至经八路段向西畅通无阻 气象部门提示傍晚仍有小雨，但目前并未形成新增积水。 导航播报中还提到相邻商圈有出库车流，但不直接改变本段主判断。 部分播报会提到周边商圈或停车场信息，但主判断仍以道路方向、区间、时段和传播范围为核心。
val_normal:173,val_normal,173,simple_local,medium,0,0,True,False,False,0.9,0,0,0.7116,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,常态或局部短时事件：红专路经八路至花园路段向西保持正常通行
val_normal:174,val_normal,174,directional_asymmetry,short,6,3,False,False,False,0.98,2,3,1.5678,0.025,0.4,0.0,50.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2188,0.5,0.0,50.0,100.0,0.1938,0.1,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2298,0.6767,0.3533,50.0,100.0,0.2048,0.2767,0.3533,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=黄河路|DIR=向东|RANGE=经六路至花园路|LEVEL=封闭\nANCHOR|ROAD=经六路|DIR=向北|RANGE=农业路至红专路|LEVEL=中度拥堵,黄河路经六路至花园路段向东施工全封闭；黄河路经三路至花园路段向西畅通无阻
val_normal:175,val_normal,175,simple_local,medium,2,2,False,False,False,0.98,1,2,1.0843,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2377,2.01,2.01,100.0,100.0,0.2377,2.01,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经八路|DIR=向南|RANGE=红专路至黄河路|LEVEL=严重拥堵,常态或局部短时事件：经八路红专路至黄河路段向南车流积压严重拥堵
val_normal:176,val_normal,176,simple_local,short,1,1,False,False,False,0.98,1,1,1.068,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.209,1.06,1.06,100.0,100.0,0.209,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=农业路|DIR=向西|RANGE=花园路至未来路|LEVEL=中度拥堵,农业路花园路至未来路段向西中度拥堵缓行
val_normal:177,val_normal,177,simple_local,medium,0,0,True,False,False,0.9,0,0,0.7189,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,常态或局部短时事件：经八路农业路至红专路段向北交通基本正常
val_normal:178,val_normal,178,simple_local,medium,1,1,False,False,False,0.98,1,1,1.1175,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.209,1.06,1.06,100.0,100.0,0.209,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经六路|DIR=向北|RANGE=红专路至政七街|LEVEL=中度拥堵,常态或局部短时事件：经六路红专路至政七街段向北排队通行效率下降
val_normal:179,val_normal,179,simple_local,short,2,1,False,False,False,0.98,1,1,1.1219,0.0083,0.4,0.0,50.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2063,0.5,0.0,50.0,100.0,0.198,0.1,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2272,1.505,2.01,50.0,100.0,0.2189,1.105,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经六路|DIR=向北|RANGE=红专路至政七街|LEVEL=严重拥堵,经六路红专路至政七街段向北追尾事故严重拥堵；红专路经六路至经八路段向西车流顺畅
val_normal:18,val_normal,18,simple_local,short,3,0,True,False,True,0.9,0,0,0.757,0.025,0.8,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.225,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.225,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,黄河路经六路至未来路段向西畅通无阻
val_normal:19,val_normal,19,directional_asymmetry,medium,2,1,False,False,False,0.98,1,1,1.1834,0.0083,0.4,0.0,50.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2063,0.5,0.0,50.0,100.0,0.198,0.1,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2272,1.505,2.01,50.0,100.0,0.2189,1.105,2.01,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=政七街|DIR=向东|RANGE=经八路至花园路|LEVEL=严重拥堵,方向不对称约束：政七街经八路至花园路段向东车流积压严重拥堵；政七街经八路至花园路段向西畅通无阻
val_normal:2,val_normal,2,directional_asymmetry,short,3,3,False,False,False,0.98,2,3,1.6371,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1938,0.0,0.0,100.0,100.0,0.1938,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2048,0.3533,0.3533,100.0,100.0,0.2048,0.3533,0.3533,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经六路|DIR=向北|RANGE=农业路至政七街|LEVEL=封闭\nANCHOR|ROAD=纬五路|DIR=向西|RANGE=经一路至经三路|LEVEL=中度拥堵,经六路农业路至政七街段向北事故处置封闭；经六路农业路至红专路段向南保持正常通行
val_normal:20,val_normal,20,simple_local,short,1,0,True,False,True,0.9,0,0,0.7318,0.0083,0.8,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2083,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2083,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,农业路经三路至经六路段向西车流顺畅
val_normal:21,val_normal,21,directional_asymmetry,medium,3,1,False,False,False,0.98,1,1,1.2044,0.0167,0.5333,0.0,33.3,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2146,0.6667,0.0,33.3,100.0,0.1979,0.1334,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2146,0.6667,0.0,33.3,100.0,0.1979,0.1334,0.0,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经三路|DIR=向北|RANGE=政七街至黄河路|LEVEL=封闭,方向不对称约束：经三路政七街至黄河路段向北临时封闭管制；经三路政七街至纬五路段向南车流顺畅
val_normal:22,val_normal,22,simple_local,short,1,1,False,False,False,0.98,1,1,1.1345,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.209,1.06,1.06,100.0,100.0,0.209,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经一路|DIR=向南|RANGE=政七街至黄河路|LEVEL=中度拥堵,经一路政七街至黄河路段向南中度拥堵缓行
val_normal:23,val_normal,23,directional_asymmetry,medium,3,3,False,False,False,0.98,2,3,1.64,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1938,0.0,0.0,100.0,100.0,0.1938,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2467,1.6933,1.6933,100.0,100.0,0.2467,1.6933,1.6933,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=2\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=红专路|DIR=向东|RANGE=经六路至花园路|LEVEL=严重拥堵\nANCHOR|ROAD=未来路|DIR=向北|RANGE=黄河路至纬五路|LEVEL=中度拥堵,方向不对称约束：红专路经六路至花园路段向东排队长度明显增加；红专路经六路至经八路段向西交通基本正常；未来路黄河路至纬五路段向北排队通行效率下降
val_normal:24,val_normal,24,simple_local,long,2,2,False,False,False,0.98,1,2,1.1239,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2377,2.01,2.01,100.0,100.0,0.2377,2.01,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经一路|DIR=向北|RANGE=政七街至纬五路|LEVEL=严重拥堵,当前需要根据常态或局部短时事件进行路径规划。 请优先按当前生效约束理解，不要被已解除或背景信息误导。 经一路政七街至纬五路段向北追尾事故严重拥堵 其余未明确提及路段按常态理解，不要额外扩大影响范围。
val_normal:25,val_normal,25,simple_local,short,1,0,True,False,True,0.9,0,0,0.7911,0.0083,0.8,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2083,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2083,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,农业路花园路至未来路段向西车流顺畅
val_normal:26,val_normal,26,simple_local,medium,2,1,False,False,False,0.98,1,1,1.1177,0.0083,0.4,0.0,50.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2063,0.5,0.0,50.0,100.0,0.198,0.1,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2272,1.505,2.01,50.0,100.0,0.2189,1.105,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=政七街|DIR=向东|RANGE=经三路至经六路|LEVEL=严重拥堵,常态或局部短时事件：政七街经三路至经六路段向东排队长度明显增加；经一路红专路至政七街段向北畅通无阻
val_normal:27,val_normal,27,simple_local,medium,2,2,False,False,False,0.98,1,2,1.1355,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2179,1.06,1.06,100.0,100.0,0.2179,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=花园路|DIR=向南|RANGE=政七街至纬五路|LEVEL=中度拥堵,常态或局部短时事件：花园路政七街至纬五路段向南车流较大缓行
val_normal:28,val_normal,28,directional_asymmetry,short,4,2,False,False,False,0.98,1,2,1.149,0.0167,0.4,0.0,50.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2125,0.5,0.0,50.0,100.0,0.1958,0.1,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2544,1.505,2.01,50.0,100.0,0.2377,1.105,2.01,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=农业路|DIR=向东|RANGE=经三路至经八路|LEVEL=严重拥堵,农业路经三路至经八路段向东排队长度明显增加；农业路经六路至花园路段向西车流顺畅
val_normal:29,val_normal,29,simple_local,short,0,0,True,False,False,0.9,0,0,0.7365,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,经三路农业路至红专路段向南保持正常通行
val_normal:3,val_normal,3,simple_local,short,1,0,True,False,True,0.9,0,0,0.7378,0.0083,0.8,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2083,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2083,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,经一路农业路至红专路段向南车流顺畅
val_normal:30,val_normal,30,simple_local,short,0,0,True,False,False,0.9,0,0,0.7347,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,红专路经六路至经八路段向西交通基本正常
val_normal:31,val_normal,31,simple_local,medium,1,1,False,False,False,0.98,1,1,1.1156,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2189,2.01,2.01,100.0,100.0,0.2189,2.01,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经六路|DIR=向北|RANGE=政七街至黄河路|LEVEL=严重拥堵,常态或局部短时事件：经六路政七街至黄河路段向北追尾事故严重拥堵
val_normal:32,val_normal,32,simple_local,medium,0,0,True,False,False,0.9,0,0,0.736,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,常态或局部短时事件：政七街花园路至未来路段向西保持正常通行
val_normal:33,val_normal,33,directional_asymmetry,medium,3,1,False,False,False,0.98,1,1,1.1512,0.0167,0.5333,0.0,33.3,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2146,0.6667,0.0,33.3,100.0,0.1979,0.1334,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2146,0.6667,0.0,33.3,100.0,0.1979,0.1334,0.0,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=政七街|DIR=向东|RANGE=经三路至经六路|LEVEL=封闭,方向不对称约束：政七街经三路至经六路段向东临时封闭管制；政七街经一路至经六路段向西车流顺畅
val_normal:34,val_normal,34,simple_local,medium,0,0,True,False,False,0.9,0,0,0.7396,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,常态或局部短时事件：红专路经三路至经六路段向西保持正常通行
val_normal:35,val_normal,35,simple_local,medium,1,1,False,False,False,0.98,1,1,1.1293,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2189,2.01,2.01,100.0,100.0,0.2189,2.01,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=农业路|DIR=向西|RANGE=经六路至经八路|LEVEL=严重拥堵,常态或局部短时事件：农业路经六路至经八路段向西追尾事故严重拥堵
val_normal:36,val_normal,36,simple_local,short,1,1,False,False,False,0.98,1,1,1.2017,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.209,1.06,1.06,100.0,100.0,0.209,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=未来路|DIR=向北|RANGE=黄河路至纬五路|LEVEL=中度拥堵,未来路黄河路至纬五路段向北排队通行效率下降
val_normal:37,val_normal,37,simple_local,short,1,1,False,False,False,0.98,1,1,1.178,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2189,2.01,2.01,100.0,100.0,0.2189,2.01,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经三路|DIR=向北|RANGE=农业路至红专路|LEVEL=严重拥堵,经三路农业路至红专路段向北车流积压严重拥堵
val_normal:38,val_normal,38,directional_asymmetry,short,1,1,False,False,False,0.98,1,1,1.2049,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,<think>\nscene=directional_asymmetry\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=花园路|DIR=向北|RANGE=黄河路至纬五路|LEVEL=封闭,花园路黄河路至纬五路段向北施工全封闭；花园路黄河路至纬五路段向南保持正常通行
val_normal:39,val_normal,39,simple_local,medium,2,2,False,False,False,0.98,1,2,1.2151,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1958,0.0,0.0,100.0,100.0,0.1958,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2179,1.06,1.06,100.0,100.0,0.2179,1.06,1.06,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=经八路|DIR=向北|RANGE=政七街至纬五路|LEVEL=中度拥堵,常态或局部短时事件：经八路政七街至纬五路段向北车流较大缓行
val_normal:4,val_normal,4,simple_local,short,0,0,True,False,False,0.9,0,0,0.7381,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,经三路红专路至黄河路段向南交通基本正常
val_normal:40,val_normal,40,simple_local,short,0,0,True,False,False,0.9,0,0,0.7735,0.0,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,经三路黄河路至纬五路段向北交通基本正常
val_normal:41,val_normal,41,simple_local,short,2,0,True,False,True,0.9,0,0,0.746,0.0167,0.8,0.0,0.0,0.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.2167,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2167,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,<think>\nscene=simple_local\nanchor_count=0\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nNO_ANCHOR,红专路经六路至花园路段向东畅通无阻
val_normal:42,val_normal,42,simple_local,medium,1,1,False,False,False,0.98,1,1,1.0885,0.0,0.0,0.0,100.0,100.0,Sparse-LoRA-v2 + Gated-GAT-v2,0.1979,0.0,0.0,100.0,100.0,0.1979,0.0,0.0,0.0,0.0,Sparse-LoRA-v2 + Always-GAT-v2,0.2189,2.01,2.01,100.0,100.0,0.2189,2.01,2.01,0.0,0.0,<think>\nscene=simple_local\nanchor_count=1\n仅输出异常语义锚点，边级补全由本地映射与图对齐模块处理。\n</think>\nANCHOR|ROAD=花园路|DIR=向南|RANGE=农业路至红专路|LEVEL=严重拥堵,常态或局部短时事件：花园路农业路至红专路段向南追尾事故严重拥堵
